Title,Description,Links,Date,Rating,Views,Image
S1.E1 ∙ Pilot,"CSI investigator Barry Allen awakens from a coma, nine months after he was hit by lightning, and discovers he has superhuman speed.",https://www.imdb.com/title/tt3187092/?ref_=ttep_ep1,"Tue, Oct 7, 2014",8.3/10, (9.4K),"https://m.media-amazon.com/images/M/MV5BZDcwMzU4NWYtODIzZi00Yzg4LWJhOTAtOTQ2ZDA4NmFlYmFlXkEyXkFqcGdeQXVyMTY1MTU3NDY5._V1_QL75_UY133_CR8,0,90,133_.jpg"
S1.E2 ∙ Fastest Man Alive,"Barry takes on a group of armed men at an awards ceremony, but side effects from his new super power catch up with him.",https://www.imdb.com/title/tt3819518/?ref_=ttep_ep2,"Tue, Oct 14, 2014",8.1/10, (7.2K),"https://m.media-amazon.com/images/M/MV5BMTQ0ODc3NzU4OF5BMl5BanBnXkFtZTgwMDE4NzM4MjE@._V1_QL75_UX500_CR0,234,500,281_.jpg"
S1.E3 ∙ Things You Can't Outrun,"Barry and Joe track a deadly metahuman with toxic gas powers, and Caitlin relives the night of the explosion that killed her fiancé.",https://www.imdb.com/title/tt3826166/?ref_=ttep_ep3,"Tue, Oct 21, 2014",7.9/10, (6.5K),"https://m.media-amazon.com/images/M/MV5BMTUwNTM0NjAyNV5BMl5BanBnXkFtZTgwMDA3NjM5MjE@._V1_QL75_UX500_CR0,26,500,281_.jpg"
S1.E4 ∙ Going Rogue,"To steal a priceless diamond, Captain Cold acquires a specialized gun that can slay the Flash. Joe disapproves of Eddie and Iris dating.",https://www.imdb.com/title/tt3881958/?ref_=ttep_ep4,"Tue, Oct 28, 2014",8.4/10, (6.8K),"https://m.media-amazon.com/images/M/MV5BMzg5MjY2MjQ5NF5BMl5BanBnXkFtZTgwMTA4NjM5MjE@._V1_QL75_UX500_CR0,26,500,281_.jpg"
S1.E5 ∙ Plastique,"While trying to get Iris to stop blogging about the Flash, Barry investigates a general's connection to an explosive meta-human.",https://www.imdb.com/title/tt3887830/?ref_=ttep_ep5,"Tue, Nov 11, 2014",7.9/10, (6K),"https://m.media-amazon.com/images/M/MV5BZDBmZDBkZGYtMWUwYy00MDhmLWIxMmUtN2NiMGJlMTgxMDk1XkEyXkFqcGdeQXVyNjkzNjQzODI@._V1_QL75_UX500_CR0,34,500,281_.jpg"
S1.E6 ∙ The Flash Is Born,"Barry takes on his childhood bully, who can now turn himself into steel. Iris finally coins the moniker ""the Flash.""",https://www.imdb.com/title/tt3920288/?ref_=ttep_ep6,"Tue, Nov 18, 2014",8.2/10, (6K),"https://m.media-amazon.com/images/M/MV5BMTkwMjA0MDIxMF5BMl5BanBnXkFtZTgwOTY0OTgzMzE@._V1_QL75_UX500_CR0,26,500,281_.jpg"
S1.E7 ∙ Power Outage,"Using his meta-human power to siphon electricity, Blackout robs Barry of his speed, then sets his sights on S.T.A.R. labs and Dr. Wells.",https://www.imdb.com/title/tt3922506/?ref_=ttep_ep7,"Tue, Nov 25, 2014",8.3/10, (5.9K),"https://m.media-amazon.com/images/M/MV5BMTY4NzUzNjI2NV5BMl5BanBnXkFtZTgwNzI1OTgzMzE@._V1_QL75_UX500_CR0,26,500,281_.jpg"
S1.E8 ∙ Flash vs. Arrow,"The Arrow comes to Central City in pursuit of a felon. Barry hopes to team up, but a meta-human who can control emotions turns one against the other.",https://www.imdb.com/title/tt3899320/?ref_=ttep_ep8,"Tue, Dec 2, 2014",9.1/10, (9.1K),"https://m.media-amazon.com/images/M/MV5BMTg4MTYwMjY5NV5BMl5BanBnXkFtZTgwODE5MTg0MzE@._V1_QL75_UX500_CR0,26,500,281_.jpg"
S1.E9 ∙ The Man in the Yellow Suit,"During the holidays, the Flash confronts the Reverse-Flash, the man who killed his mother. Caitlin gets surprising news about her fiancé, Ronnie.",https://www.imdb.com/title/tt4017786/?ref_=ttep_ep9,"Tue, Dec 9, 2014",9.2/10, (8.7K),"https://m.media-amazon.com/images/M/MV5BMTY5ODY1MjUyMV5BMl5BanBnXkFtZTgwMzkxMjg0MzE@._V1_QL75_UX500_CR0,26,500,281_.jpg"
S1.E10 ∙ Revenge of the Rogues,"While the Flash prepares to vanquish the Reverse-Flash, Captain Cold, teamed with Heat Wave, comes looking for a fight.",https://www.imdb.com/title/tt4016102/?ref_=ttep_ep10,"Tue, Jan 20, 2015",8.1/10, (5.8K),"https://m.media-amazon.com/images/M/MV5BMTc2MTE3OTA2Nl5BMl5BanBnXkFtZTgwNDM5NzA2MzE@._V1_QL75_UX500_CR0,38,500,281_.jpg"
S1.E11 ∙ The Sound and the Fury,"While Iris faces trouble in her new job, a former protégé of Dr. Wells uses sound waves to attack the Flash.",https://www.imdb.com/title/tt4111294/?ref_=ttep_ep11,"Tue, Jan 27, 2015",8.0/10, (5.4K),"https://m.media-amazon.com/images/M/MV5BMjE0MDU4NjAzNV5BMl5BanBnXkFtZTgwMzY1NzkwNDE@._V1_QL75_UX500_CR0,40,500,281_.jpg"
S1.E12 ∙ Crazy for You,"Caitlin brings Barry out to a karaoke bar, hoping they both meet someone new; Cisco thinks about Hartley's dangerous proposition; Henry's snooping gets him into trouble.",https://www.imdb.com/title/tt4105618/?ref_=ttep_ep12,"Tue, Feb 3, 2015",8.2/10, (5.6K),"https://m.media-amazon.com/images/M/MV5BNDE3NTU2OTg0NF5BMl5BanBnXkFtZTgwNDA0ODgxNDE@._V1_QL75_UX500_CR0,26,500,281_.jpg"
S1.E13 ∙ The Nuclear Man,"After Ronnie kills a physicist, Barry and the team go after him. Joe enlists Cisco's help in the reinvestigation of Nora Allen's murder. Barry struggles with a new relationship and his duties as The Flash.",https://www.imdb.com/title/tt4138324/?ref_=ttep_ep13,"Tue, Feb 10, 2015",8.5/10, (5.7K),"https://m.media-amazon.com/images/M/MV5BMjM4NTEyNjQyNl5BMl5BanBnXkFtZTgwNTcxMzIzNDE@._V1_QL75_UX500_CR0,26,500,281_.jpg"
S1.E14 ∙ Fallout,"After the nuclear explosion separates Ronnie and Dr. Stein, Barry and the team believe both men are safe. Barry gets some important information about time travel.",https://www.imdb.com/title/tt4138326/?ref_=ttep_ep14,"Tue, Feb 17, 2015",8.7/10, (6.1K),"https://m.media-amazon.com/images/M/MV5BMjE4NjQ4NTc3NF5BMl5BanBnXkFtZTgwNTM3OTkzNDE@._V1_QL75_UX500_CR0,27,500,281_.jpg"
S1.E15 ∙ Out of Time,"Mark Mardon, returns to seek revenge on Joe for the death of Clyde, bearing the same weather-manipulation powers as his deceased sibling.",https://www.imdb.com/title/tt4138338/?ref_=ttep_ep15,"Tue, Mar 17, 2015",9.6/10, (15K),"https://m.media-amazon.com/images/M/MV5BODYwNjY1NDc4Nl5BMl5BanBnXkFtZTgwNjMyMDg0NDE@._V1_QL75_UX500_CR0,26,500,281_.jpg"
S1.E16 ∙ Rogue Time,The Flash learns that Captain Cold and Heat Wave have returned to Central City. This time Snart has brought along his sociopathic baby sister Lisa to help wreak havoc on the city.,https://www.imdb.com/title/tt4138340/?ref_=ttep_ep16,"Tue, Mar 24, 2015",8.3/10, (5.8K),"https://m.media-amazon.com/images/M/MV5BMjI5MDUyNTA3M15BMl5BanBnXkFtZTgwODc0NDM4NDE@._V1_QL75_UX500_CR0,35,500,281_.jpg"
S1.E17 ∙ Tricksters,"James Jesse, a.k.a. The Trickster, once terrorized Central City twenty years ago. Now a copycat has arisen to carry on the name and resume his murderous misdeeds.",https://www.imdb.com/title/tt4138344/?ref_=ttep_ep17,"Tue, Mar 31, 2015",9.0/10, (7K),"https://m.media-amazon.com/images/M/MV5BMTk0NTYyMDg1OV5BMl5BanBnXkFtZTgwNzY3NDM4NDE@._V1_QL75_UX500_CR0,26,500,281_.jpg"
S1.E18 ∙ All Star Team Up,Felicity Smoak and Ray Palmer come to Central City seeking help with Ray's suit; an ex-employee releases deadly robotic bees; a group dinner does not go as planned.,https://www.imdb.com/title/tt4138352/?ref_=ttep_ep18,"Tue, Apr 14, 2015",8.1/10, (5.7K),"https://m.media-amazon.com/images/M/MV5BMTgxNDE2NTAyNF5BMl5BanBnXkFtZTgwNDc3MTExNTE@._V1_QL75_UX500_CR0,26,500,281_.jpg"
S1.E19 ∙ Who Is Harrison Wells?,Joe and Cisco visit Starling City and ask Captain Lance for help with their investigation into Dr. Wells; Laurel asks Cisco for a favor; Barry faces a new foe who can disguise himself as anyone he touches.,https://www.imdb.com/title/tt4138350/?ref_=ttep_ep19,"Tue, Apr 21, 2015",8.9/10, (6.4K),"https://m.media-amazon.com/images/M/MV5BMjM2NDQ3ODg1OF5BMl5BanBnXkFtZTgwNTg0MjIyNTE@._V1_QL75_UX500_CR0,26,500,281_.jpg"
S1.E20 ∙ The Trap,"Barry, Caitlin, Cisco and Joe set a trap for Wells. Cisco uses himself as bait, which puts him in great danger. Meanwhile, Eddie makes a decision regarding Iris, which leaves Joe a bit unsettled.",https://www.imdb.com/title/tt4138356/?ref_=ttep_ep20,"Tue, Apr 28, 2015",9.3/10, (7.6K),"https://m.media-amazon.com/images/M/MV5BMTU1MjA1NTA5MV5BMl5BanBnXkFtZTgwNTQ1MzI0NTE@._V1_QL75_UX500_CR0,26,500,281_.jpg"
